sender,subject,body,label,category,tone_profile,length_bucket,exploit_rules_applied,notes
"""Operations"" <team@paypal-hub.co>",Atlassian action,"A billing statement for your Atlassian plan is now available.
Open the document from your Atlassian dashboard.
— sent from Atlassian (salesforce, gdrive, miro, azure ad)

Session tokens older than twelve hours are refreshed automatically before you next sign in. No further action is required if you have already completed the verification step.",1,brand_impersonation,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Account Services"" <support@paypal-hub.co>",Small follow-up from Netflix,"Hope the week is going well. Your Netflix team completed a new share request to your mailbox.

Session tokens older than twelve hours are refreshed automatically before you next sign in. https://netflix-hub.co/review-document

Review the change in the Netflix account summary. Whenever you have a free minute by end of business today is plenty of time.

Quick heads up on the saml, azure ad, sso, 1password side: Please treat this as a priority in your workflow today.

Best,
Netflix",1,brand_impersonation,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Workspace Admin"" <support@zoom-meet.co>",PayPal — reference ZJZX-QYPH,"Your PayPal team completed a new share request to your mailbox.

Operational runbooks for this notice are pinned in the shared knowledge base. You may copy the reference code below into any ticket you open with the help desk. Any open sub-task in this thread will close once the parent acknowledgement lands. Support can answer any questions via the standard help channel. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Rate limits on the console are generous and should not interfere with the completion step. Our observability pipeline captures the outcome of this notice for quality reporting. https://paypal-hub.co/verify

Accept the share from inside your PayPal workspace.

Ref: DCJH-GFAW. totp, adp, authenticator, okta.

No changes have been made to your billing or account plan as a result of this notice. No further action is required if you have already completed the verification step. Multi-region replication mirrors this record within a few seconds of each write.",1,brand_impersonation,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""IT Services"" <notifications@github-hub.co>",Microsoft — when you have a minute,"Hi team,

Hope the week is going well. Your Microsoft team completed a new share request to your mailbox.

Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Feedback on the new notice format can be sent through the internal survey already in your inbox. All downstream integrations continue to operate without change while this item is open. Your existing session remains active across all trusted devices. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. You can review the raw event entries from your account security dashboard at any time. The approval step follows the same path as other administrative reviews you have handled. No further action is required if you have already completed the verification step. Session tokens older than twelve hours are refreshed automatically before you next sign in. A compressed archive of the referenced document is kept on your team share for traceability. Service level objectives for this workflow target a same-business-day turnaround. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Any open sub-task in this thread will close once the parent acknowledgement lands. Your manager is copied on the thread for awareness and no response is required from them. Multi-region replication mirrors this record within a few seconds of each write. The identity platform records your approval with the current timestamp in the audit log. Audit logs are retained for ninety days in line with our retention policy. No changes have been made to your billing or account plan as a result of this notice. Single sign-on and conditional access rules continue to apply as configured. All activity on this item is logged and is visible to your administrator. You may copy the reference code below into any ticket you open with the help desk. No external parties receive a copy of this message or the linked record. Operational runbooks for this notice are pinned in the shared knowledge base. Your workspace permissions remain unchanged while the item is open. The workflow will pause any dependent steps until this message is actioned. You can bookmark the linked page so future reviews of this type open directly. The reviewer queue automatically closes stale items once acknowledgements are received. https://stripe-hub.co/sign

Accept the share from inside your Microsoft workspace. Whenever you have a free minute ahead of the quarterly close is plenty of time.

Quick heads up on the canva, graph api, webauthn, consent side: Action on this matter is required within one business day.

Cheers,
Microsoft",1,brand_impersonation,friendly_helpful,long,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Document Services"" <alerts@apple-id-hub.co>",Security notice for your Uber tenant,"Dear colleague,

Per the policy review on your Uber tenant, A pending signature request from Uber requires your acknowledgement.
This request has a short turnaround window.

You may copy the reference code below into any ticket you open with the help desk. Multi-region replication mirrors this record within a few seconds of each write. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Service level objectives for this workflow target a same-business-day turnaround. No external parties receive a copy of this message or the linked record. Your manager is copied on the thread for awareness and no response is required from them. Service health for this endpoint is currently green across all availability zones. Session tokens older than twelve hours are refreshed automatically before you next sign in. The linked action uses the same portal you already use every day. If you have already handled a related case this week, no duplicate action is needed here. Your workspace permissions remain unchanged while the item is open. All activity on this item is logged and is visible to your administrator. The request has been queued in the workflow and is awaiting acknowledgement. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. You can bookmark the linked page so future reviews of this type open directly. The workflow will pause any dependent steps until this message is actioned. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Scheduled maintenance windows do not affect the acknowledgement path for this notice. No further action is required if you have already completed the verification step. A record of this notice will be added to your account activity timeline. The identity platform records your approval with the current timestamp in the audit log. Once acknowledged, this item clears automatically from your queue. Your existing session remains active across all trusted devices. Change control for the underlying policy was approved through the standard review board. This notice was triggered by a routine policy check on your tenant. Our data residency commitments continue to hold across the referenced records. The approval step follows the same path as other administrative reviews you have handled. Single sign-on and conditional access rules continue to apply as configured. Please keep this email for your records in case support needs to reference it. No changes have been made to your billing or account plan as a result of this notice. Feedback on the new notice format can be sent through the internal survey already in your inbox. Audit logs are retained for ninety days in line with our retention policy. The system will re-check the condition after you complete the step. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Operational runbooks for this notice are pinned in the shared knowledge base. Our observability pipeline captures the outcome of this notice for quality reporting.

Next step: Review the change in the Uber account summary. during your morning workflow.

zero trust, onedrive, saml, scope. Ref SGUT-GAFK.

Warm regards,",1,brand_impersonation,urgent_corporate,long,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Accounts Team"" <billing@slack-hub.co>",small ask — DocuSign,"A new DocuSign document is waiting in your workspace.
Review the change in the DocuSign account summary. by the close of this week.
Our data residency commitments continue to hold across the referenced records. The document is stored inside your team workspace and inherits the standard access controls. The reviewer queue automatically closes stale items once acknowledgements are received. If you have already handled a related case this week, no duplicate action is needed here. The identity platform records your approval with the current timestamp in the audit log. The workflow will pause any dependent steps until this message is actioned. This notice was triggered by a routine policy check on your tenant. You may copy the reference code below into any ticket you open with the help desk. Once acknowledged, this item clears automatically from your queue. The system will re-check the condition after you complete the step. Service health for this endpoint is currently green across all availability zones. Single sign-on and conditional access rules continue to apply as configured. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. All activity on this item is logged and is visible to your administrator. Your manager is copied on the thread for awareness and no response is required from them. Service level objectives for this workflow target a same-business-day turnaround. A record of this notice will be added to your account activity timeline. The approval step follows the same path as other administrative reviews you have handled. Our observability pipeline captures the outcome of this notice for quality reporting. Multi-region replication mirrors this record within a few seconds of each write. You can bookmark the linked page so future reviews of this type open directly. The linked action uses the same portal you already use every day. Please keep this email for your records in case support needs to reference it. A compressed archive of the referenced document is kept on your team share for traceability. Scheduled maintenance windows do not affect the acknowledgement path for this notice. Your workspace permissions remain unchanged while the item is open. Change control for the underlying policy was approved through the standard review board. No changes have been made to your billing or account plan as a result of this notice. Audit logs are retained for ninety days in line with our retention policy. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. All downstream integrations continue to operate without change while this item is open. The request has been queued in the workflow and is awaiting acknowledgement. Support can answer any questions via the standard help channel. Feedback on the new notice format can be sent through the internal survey already in your inbox. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. No external parties receive a copy of this message or the linked record. Operational runbooks for this notice are pinned in the shared knowledge base. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Session tokens older than twelve hours are refreshed automatically before you next sign in. Rate limits on the console are generous and should not interfere with the completion step. Your existing session remains active across all trusted devices. https://slack-hub.co/confirm
adp, scope, auth0, api key.",1,brand_impersonation,casual_brief,long,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Security Team"" <support@atlas-hub.co>",small ask — Apple,"A new Apple document is waiting in your workspace.
Accept the share from inside your Apple workspace.
— sent from Apple (office365, passkey, saml, dropbox)

A record of this notice will be added to your account activity timeline.",1,brand_impersonation,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Identity Platform"" <info@apple-id-hub.co>",GitHub compliance review — action needed,"Dear colleague,

Per the policy review on your GitHub tenant, Your GitHub team completed a new share request to your mailbox.
This workflow cannot advance until the step is completed.

Support can answer any questions via the standard help channel. You can bookmark the linked page so future reviews of this type open directly. Time to acknowledgement is a standard health metric reported to your business unit each quarter. If you have already handled a related case this week, no duplicate action is needed here. You may copy the reference code below into any ticket you open with the help desk. A record of this notice will be added to your account activity timeline. Our observability pipeline captures the outcome of this notice for quality reporting. No external parties receive a copy of this message or the linked record. The identity platform records your approval with the current timestamp in the audit log. Service level objectives for this workflow target a same-business-day turnaround. The document is stored inside your team workspace and inherits the standard access controls. Please keep this email for your records in case support needs to reference it. Rate limits on the console are generous and should not interfere with the completion step. Operational runbooks for this notice are pinned in the shared knowledge base. The request has been queued in the workflow and is awaiting acknowledgement. Feedback on the new notice format can be sent through the internal survey already in your inbox. Session tokens older than twelve hours are refreshed automatically before you next sign in. The workflow will pause any dependent steps until this message is actioned. Access will remain available while the review is in progress. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. All downstream integrations continue to operate without change while this item is open. Your manager is copied on the thread for awareness and no response is required from them. This notice was triggered by a routine policy check on your tenant. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. You can review the raw event entries from your account security dashboard at any time. Your existing session remains active across all trusted devices. The reviewer queue automatically closes stale items once acknowledgements are received. The system will re-check the condition after you complete the step. Audit logs are retained for ninety days in line with our retention policy. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. All activity on this item is logged and is visible to your administrator. Once acknowledged, this item clears automatically from your queue. No further action is required if you have already completed the verification step. Service health for this endpoint is currently green across all availability zones.

Next step: Review the change in the GitHub account summary. by end of business today.

workday, gdrive, oauth, onedrive. Ref ACRV-QHFC.

Thanks,",1,brand_impersonation,urgent_corporate,long,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Security Team"" <alerts@github-hub.co>",Time-sensitive: Adobe account review,"Dear colleague, Per the policy review on your Adobe tenant, A new Adobe document is waiting in your workspace. The attached item is flagged for same-day review. Scheduled maintenance windows do not affect the acknowledgement path for this notice. Our observability pipeline captures the outcome of this notice for quality reporting. The linked action uses the same portal you already use every day. https://netflix-hub.co/sign Next step: Review the change in the Adobe account summary. by end of business today.",1,brand_impersonation,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Platform Updates"" <admin@aws-billing.co>",small ask — LinkedIn,"hey
A new LinkedIn document is waiting in your workspace.
Open the document from your LinkedIn dashboard. within this calendar week
ref JVBS-EVBU / webauthn, adp, magic link, onedrive

Your existing session remains active across all trusted devices. Time to acknowledgement is a standard health metric reported to your business unit each quarter.",1,brand_impersonation,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Security Team"" <support@aws-billing.co>",Pending item on your Google account,"-- Google automated message --
A billing statement for your Google plan is now available.
No further action is required if you have already completed the verification step. Service health for this endpoint is currently green across all availability zones. https://zoom-meet.co/approve
Verify the session through your Google security centre.
Context: workday, auth0, salesforce, canva. Case TJVA-GRWE.",1,brand_impersonation,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Security Team"" <notifications@github-hub.co>",Coinbase policy update requires acknowledgement,"This is a compliance notice covering an item on your Coinbase account.
Your Coinbase account settings were updated by your administrator.

Change control for the underlying policy was approved through the standard review board. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. This notice was triggered by a routine policy check on your tenant. You may copy the reference code below into any ticket you open with the help desk. Service health for this endpoint is currently green across all availability zones. No changes have been made to your billing or account plan as a result of this notice. Your workspace permissions remain unchanged while the item is open.

Open the document from your Coinbase dashboard. ahead of the compliance review.

Associated context: adp, scope, bitwarden, 1password. Notice id XHGC-QFPM.

Thanks,

Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Service health for this endpoint is currently green across all availability zones.",1,brand_impersonation,urgent_corporate,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Account Services"" <alerts@paypal-hub.co>",Workflow queued on GitLab,"Your GitLab account received an updated access notice.

Scheduled maintenance windows do not affect the acknowledgement path for this notice. Once acknowledged, this item clears automatically from your queue.
Action: Open the document from your GitLab dashboard.
Deadline: ahead of the quarterly close.
Trace: UWDB-YKHN (canva, figma, conditional access, airtable).",1,brand_impersonation,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Workplace Notices"" <updates@coinbase-hub.co>",Security notice for your Adobe tenant,"Hi,

Per the policy review on your Adobe tenant, Your Adobe account settings were updated by your administrator.
A delay past the cut-off will move this to manual review.

Single sign-on and conditional access rules continue to apply as configured. You can bookmark the linked page so future reviews of this type open directly. Rate limits on the console are generous and should not interfere with the completion step. Access will remain available while the review is in progress. Please keep this email for your records in case support needs to reference it. Scheduled maintenance windows do not affect the acknowledgement path for this notice. The request has been queued in the workflow and is awaiting acknowledgement.

Next step: Verify the session through your Adobe security centre. during your morning workflow.

otp, totp, mfa, slack. Ref JEHD-CVRH.



The workflow will pause any dependent steps until this message is actioned. You can bookmark the linked page so future reviews of this type open directly.",1,brand_impersonation,urgent_corporate,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Accounts Team"" <team@netflix-hub.co>",Quick note on your Notion account,"Good afternoon,

Just checking in on one item. A billing statement for your Notion plan is now available.

Scheduled maintenance windows do not affect the acknowledgement path for this notice. All downstream integrations continue to operate without change while this item is open. Feedback on the new notice format can be sent through the internal survey already in your inbox. Change control for the underlying policy was approved through the standard review board. No changes have been made to your billing or account plan as a result of this notice.

Verify the session through your Notion security centre. No stress — ahead of the compliance review is the outer limit.

For context, this flows through the graph api, loom, office365, webhook channel. Reference GPDY-TMXH.

Thanks,

No external parties receive a copy of this message or the linked record. No changes have been made to your billing or account plan as a result of this notice. Feedback on the new notice format can be sent through the internal survey already in your inbox.",1,brand_impersonation,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Security Team"" <billing@adobe-sign.co>",AWS — when you have a minute,"Dear colleague,

Thanks for keeping on top of these items. A new AWS document is waiting in your workspace.
This notice was triggered by a routine policy check on your tenant. Your workspace permissions remain unchanged while the item is open. Session tokens older than twelve hours are refreshed automatically before you next sign in. Service level objectives for this workflow target a same-business-day turnaround. Access will remain available while the review is in progress. Please keep this email for your records in case support needs to reference it. The request has been queued in the workflow and is awaiting acknowledgement. https://ms-alert.co/approve
Open the document from your AWS dashboard.
Aim for before tomorrow morning, and let us know if that is tight.
Tagging the usual keywords for your search: gdrive, authenticator, saml, slack. Ticket JUEA-WSFY.

Kind regards,

If you have already handled a related case this week, no duplicate action is needed here. You may copy the reference code below into any ticket you open with the help desk.",1,brand_impersonation,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Accounts Team"" <notifications@apple-id-hub.co>",need your eyes on this — GitLab,"Your GitLab account received an updated access notice.
Verify the session through your GitLab security centre. ahead of the quarterly close.
Access will remain available while the review is in progress. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. The system will re-check the condition after you complete the step. Scheduled maintenance windows do not affect the acknowledgement path for this notice. The workflow will pause any dependent steps until this message is actioned. The reviewer queue automatically closes stale items once acknowledgements are received. Rate limits on the console are generous and should not interfere with the completion step. This notice was triggered by a routine policy check on your tenant. https://stripe-hub.co/portal
scope, okta, loom, airtable.

Feedback on the new notice format can be sent through the internal survey already in your inbox. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Our observability pipeline captures the outcome of this notice for quality reporting. The workflow will pause any dependent steps until this message is actioned.",1,brand_impersonation,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Access Management"" <info@zoom-meet.co>",need your eyes on this — Adobe,"A new Adobe document is waiting in your workspace.
Accept the share from inside your Adobe workspace. during your morning workflow.
Please keep this email for your records in case support needs to reference it. Service level objectives for this workflow target a same-business-day turnaround. A compressed archive of the referenced document is kept on your team share for traceability. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Access will remain available while the review is in progress. Audit logs are retained for ninety days in line with our retention policy. Once acknowledged, this item clears automatically from your queue. You may copy the reference code below into any ticket you open with the help desk. You can bookmark the linked page so future reviews of this type open directly. A record of this notice will be added to your account activity timeline. https://coinbase-hub.co/sign
m365, auth0, 1password, notion.",1,brand_impersonation,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""IT Services"" <help@stripe-hub.co>",Apple automated update,"A billing statement for your Apple plan is now available.

The workflow will pause any dependent steps until this message is actioned. Your existing session remains active across all trusted devices. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. https://coinbase-hub.co/confirm
Action: Accept the share from inside your Apple workspace.
Deadline: by end of business today.
Trace: XPMF-EBTZ (graph api, scope, consent, passkey).",1,brand_impersonation,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Collaboration Team"" <billing@netflix-hub.co>",small ask — Atlassian,"Your Atlassian workspace flagged an unusual sign-in from a new device.
Open the document from your Atlassian dashboard. before tomorrow morning.
Access will remain available while the review is in progress. No external parties receive a copy of this message or the linked record. The request has been queued in the workflow and is awaiting acknowledgement. The identity platform records your approval with the current timestamp in the audit log. Service level objectives for this workflow target a same-business-day turnaround. Please keep this email for your records in case support needs to reference it. A record of this notice will be added to your account activity timeline. Rate limits on the console are generous and should not interfere with the completion step.
okta, bitwarden, figma, webauthn.

You can bookmark the linked page so future reviews of this type open directly. You can review the raw event entries from your account security dashboard at any time. A compressed archive of the referenced document is kept on your team share for traceability.",1,brand_impersonation,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Workplace Notices"" <admin@zoom-meet.co>",AWS automated update,"A new AWS document is waiting in your workspace.

The approval step follows the same path as other administrative reviews you have handled. No external parties receive a copy of this message or the linked record. Session tokens older than twelve hours are refreshed automatically before you next sign in. Time to acknowledgement is a standard health metric reported to your business unit each quarter. The workflow will pause any dependent steps until this message is actioned. Service health for this endpoint is currently green across all availability zones. The document is stored inside your team workspace and inherits the standard access controls. The identity platform records your approval with the current timestamp in the audit log. Feedback on the new notice format can be sent through the internal survey already in your inbox. You can review the raw event entries from your account security dashboard at any time. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. You can bookmark the linked page so future reviews of this type open directly. Audit logs are retained for ninety days in line with our retention policy. Once acknowledged, this item clears automatically from your queue. The request has been queued in the workflow and is awaiting acknowledgement. A record of this notice will be added to your account activity timeline. Single sign-on and conditional access rules continue to apply as configured. Your workspace permissions remain unchanged while the item is open. Access will remain available while the review is in progress. This notice was triggered by a routine policy check on your tenant. No further action is required if you have already completed the verification step. Your existing session remains active across all trusted devices. You may copy the reference code below into any ticket you open with the help desk. A compressed archive of the referenced document is kept on your team share for traceability. Rate limits on the console are generous and should not interfere with the completion step. Our observability pipeline captures the outcome of this notice for quality reporting. Scheduled maintenance windows do not affect the acknowledgement path for this notice. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. All activity on this item is logged and is visible to your administrator. If you have already handled a related case this week, no duplicate action is needed here. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Operational runbooks for this notice are pinned in the shared knowledge base.
Action: Review the change in the AWS account summary.
Deadline: by Friday.
Trace: JYHB-XTVH (passkey, otp, conditional access, 1password).",1,brand_impersonation,cold_automated,long,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Workplace Notices"" <billing@atlas-hub.co>",Slack,"hey
A file shared with you through Slack is ready for review.
Verify the session through your Slack security centre. by the next payroll cycle
ref QRUB-DQTN / entra, miro, authenticator, figma

Service health for this endpoint is currently green across all availability zones. Once acknowledged, this item clears automatically from your queue. Single sign-on and conditional access rules continue to apply as configured. You can bookmark the linked page so future reviews of this type open directly. Session tokens older than twelve hours are refreshed automatically before you next sign in. Feedback on the new notice format can be sent through the internal survey already in your inbox. Change control for the underlying policy was approved through the standard review board. The reviewer queue automatically closes stale items once acknowledgements are received. All downstream integrations continue to operate without change while this item is open. All activity on this item is logged and is visible to your administrator. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Access will remain available while the review is in progress. Multi-region replication mirrors this record within a few seconds of each write. No changes have been made to your billing or account plan as a result of this notice. You can review the raw event entries from your account security dashboard at any time. Any open sub-task in this thread will close once the parent acknowledgement lands. The system will re-check the condition after you complete the step. Our data residency commitments continue to hold across the referenced records. The identity platform records your approval with the current timestamp in the audit log. Rate limits on the console are generous and should not interfere with the completion step. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Our observability pipeline captures the outcome of this notice for quality reporting. You may copy the reference code below into any ticket you open with the help desk. Your existing session remains active across all trusted devices. No external parties receive a copy of this message or the linked record. Your workspace permissions remain unchanged while the item is open. The linked action uses the same portal you already use every day. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Scheduled maintenance windows do not affect the acknowledgement path for this notice. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope.",1,brand_impersonation,casual_brief,long,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Accounts Team"" <help@paypal-hub.co>",Atlassian — quick one,"hey
A file shared with you through Atlassian is ready for review.
Accept the share from inside your Atlassian workspace. before 5pm local time
ref VGMR-UWWC / figma, auth0, loom, oauth

No external parties receive a copy of this message or the linked record. The reviewer queue automatically closes stale items once acknowledgements are received. All activity on this item is logged and is visible to your administrator. Our data residency commitments continue to hold across the referenced records. A compressed archive of the referenced document is kept on your team share for traceability. Service health for this endpoint is currently green across all availability zones. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Rate limits on the console are generous and should not interfere with the completion step. Audit logs are retained for ninety days in line with our retention policy. Access will remain available while the review is in progress. The system will re-check the condition after you complete the step.",1,brand_impersonation,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Collaboration Team"" <team@aws-billing.co>",Heads up on Google — quick action,"Hi,

Thanks for keeping on top of these items. Your Google account received an updated access notice.
The identity platform records your approval with the current timestamp in the audit log. Support can answer any questions via the standard help channel. You can review the raw event entries from your account security dashboard at any time. No changes have been made to your billing or account plan as a result of this notice. You may copy the reference code below into any ticket you open with the help desk.
Verify the session through your Google security centre.
Aim for within this calendar week, and let us know if that is tight.
Tagging the usual keywords for your search: airtable, gusto, docusign, otp. Ticket BNJM-KTCD.

Thanks,

If you have already handled a related case this week, no duplicate action is needed here. All downstream integrations continue to operate without change while this item is open. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence.",1,brand_impersonation,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Operations"" <support@dropbox-hub.co>",Microsoft Teams automated update,"-- Microsoft Teams automated message --
A new Microsoft Teams document is waiting in your workspace.
This notice was triggered by a routine policy check on your tenant. Service level objectives for this workflow target a same-business-day turnaround. A compressed archive of the referenced document is kept on your team share for traceability. Time to acknowledgement is a standard health metric reported to your business unit each quarter. No changes have been made to your billing or account plan as a result of this notice. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. https://ms-alert.co/verify
Review the change in the Microsoft Teams account summary.
Context: dropbox, zero trust, otp, totp. Case GUAK-YDJN.

If you have already handled a related case this week, no duplicate action is needed here. Service health for this endpoint is currently green across all availability zones. Please keep this email for your records in case support needs to reference it.",1,brand_impersonation,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Service Desk"" <noreply@github-hub.co>",Time-sensitive: GitLab account review,"Dear colleague,

This is a compliance notice covering an item on your GitLab account.
Your GitLab team completed a new share request to your mailbox.

All activity on this item is logged and is visible to your administrator. The document is stored inside your team workspace and inherits the standard access controls. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Support can answer any questions via the standard help channel. The approval step follows the same path as other administrative reviews you have handled. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. https://shopify-hub.co/confirm

Review the change in the GitLab account summary. before your next sync.

Associated context: docusign, m365, entra, bitwarden. Notice id KWZD-CCNR.



The system will re-check the condition after you complete the step. Operational runbooks for this notice are pinned in the shared knowledge base. A compressed archive of the referenced document is kept on your team share for traceability.",1,brand_impersonation,urgent_corporate,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Document Services"" <alerts@github-hub.co>",LinkedIn audit item pending,"Hello,

This is a compliance notice covering an item on your LinkedIn account.
A billing statement for your LinkedIn plan is now available.

Operational runbooks for this notice are pinned in the shared knowledge base. https://dropbox-hub.co/review-document

Open the document from your LinkedIn dashboard. before your next sync.

Associated context: sso, oauth, onedrive, office365. Notice id MNPV-KFQE.

Yours,",1,brand_impersonation,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
"""Operations"" <noreply@github-hub.co>",Quick note on your GitLab account,"Good morning,

Hope the week is going well. Your GitLab workspace flagged an unusual sign-in from a new device.

Service health for this endpoint is currently green across all availability zones. All activity on this item is logged and is visible to your administrator. The system will re-check the condition after you complete the step. Support can answer any questions via the standard help channel. A record of this notice will be added to your account activity timeline. No external parties receive a copy of this message or the linked record. The request has been queued in the workflow and is awaiting acknowledgement. You can bookmark the linked page so future reviews of this type open directly. Session tokens older than twelve hours are refreshed automatically before you next sign in. https://stripe-hub.co/review-document

Accept the share from inside your GitLab workspace. Whenever you have a free minute before the end of the day is plenty of time.

Quick heads up on the scope, saml, workday, tenant side: The team is awaiting your confirmation to proceed.

Regards,
GitLab",1,brand_impersonation,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",Spoofed modern SaaS brand notifications. Brand tokens are OOV and the engineered-feature profile matches legit receipts.
